Attaching to apps_proxy_1, apps_arachni_1, apps_webgoat_1
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/view/GoatRouter.js HTTP/1.1" 200 1870 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/controller/MenuController.js HTTP/1.1" 200 710 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/view/DeveloperControlsView.js HTTP/1.1" 200 2024 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/controller/LessonController.js HTTP/1.1" 200 7853 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/model/LabelDebugModel.js HTTP/1.1" 200 905 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/model/LessonContentModel.js HTTP/1.1" 200 1692 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/model/PluginReloadModel.js HTTP/1.1" 200 346 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/libs/jquery-1.10.2.min.js HTTP/1.1" 200 93107 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/view/PlanView.js HTTP/1.1" 200 527 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/view/MenuView.js HTTP/1.1" 200 4290 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
